Company,Role,Description,Job Link
Shopify,Digital Marketing Specialist,"We are looking for a Digital Marketing Specialist with a strong foundation in Google Ads campaign setup and A/B testing, Social media analytics with Hootsuite, Competitor analysis and benchmarking, Content calendar planning and execution, Lead generation through LinkedIn, Influencer outreach and partnership management, Email marketing automation with Mailchimp. You will work closely with stakeholders, develop effective solutions, and support the growth and development of our organization.",https://careers.shopify.com/jobs/digital-marketing-specialist-3938
Baidu,Software Engineer,"We are looking for a Software Engineer with a strong foundation in Agile Scrum team collaboration, RESTful API design and documentation, Code review and static analysis tools, Unit testing with pytest, SQL query optimization for PostgreSQL, Python and object-oriented programming, Java SpringBoot microservices. You will work closely with stakeholders, develop effective solutions, and support the growth and development of our organization.",https://careers.baidu.com/jobs/software-engineer-7228

Meta,Cybersecurity Analyst,"Our company is searching for a dedicated Cybersecurity Analyst with proven proficiency in Identity and access management (IAM), Patch management and system hardening, Incident response and forensics, Vulnerability assessment and penetration testing, Network intrusion detection and prevention, Security awareness training, Firewall configuration and management, Malware analysis and reverse engineering. You will be responsible for leading initiatives, optimizing processes, and fostering a culture of collaboration and innovation.",https://careers.meta.com/jobs/cybersecurity-analyst-1652
Pinterest,Digital Marketing Specialist,"As a Digital Marketing Specialist, you will leverage your experience in Competitor analysis and benchmarking, Conversion rate optimization (CRO), Google Ads campaign setup and A/B testing, Google Analytics event tracking, Copywriting for landing pages and emails, Content calendar planning and execution, Reporting and dashboard creation to solve challenging problems and drive impactful change. We value proactive, detail-oriented professionals passionate about making a difference.",https://careers.pinterest.com/jobs/digital-marketing-specialist-7573
Palantir,Software Engineer,"Our company is searching for a dedicated Software Engineer with proven proficiency in Debugging with VSCode and GDB, RESTful API design and documentation, Continuous Integration with Jenkins, Linux shell scripting for automation, Cloud deployment on AWS, SQL query optimization for PostgreSQL, Git branching and merging strategies. You will be responsible for leading initiatives, optimizing processes, and fostering a culture of collaboration and innovation.",https://careers.palantir.com/jobs/software-engineer-5322
Palantir,Project Manager,"As a Project Manager, you will leverage your experience in Stakeholder communication and reporting, Presentation to executive leadership, Meeting facilitation and documentation, Resource allocation and budgeting, Team leadership and conflict resolution, Quality assurance and control, Risk management and mitigation strategies, Agile and Waterfall methodologies, Remote team coordination to solve challenging problems and drive impactful change. We value proactive, detail-oriented professionals passionate about making a difference.",https://careers.palantir.com/jobs/project-manager-9888
Philips,Software Engineer,"Our company is searching for a dedicated Software Engineer with proven proficiency in Cloud deployment on AWS, Code review and static analysis tools, RESTful API design and documentation, Performance profiling and memory management, Java SpringBoot microservices, Frontend development with React.js. You will be responsible for leading initiatives, optimizing processes, and fostering a culture of collaboration and innovation.",https://careers.philips.com/jobs/software-engineer-4211
Snap Inc.,Software Engineer,"Become part of our dynamic team as a Software Engineer. Your background in Python and object-oriented programming, RESTful API design and documentation, Frontend development with React.js, Performance profiling and memory management, Continuous Integration with Jenkins, Debugging with VSCode and GDB, Cloud deployment on AWS will enable you to contribute to strategic planning, process improvement, and the successful execution of key projects.",https://careers.snapinc.com/jobs/software-engineer-6943
Tesla,Software Engineer,"Become part of our dynamic team as a Software Engineer. Your background in Java SpringBoot microservices, Python and object-oriented programming, Git branching and merging strategies, Agile Scrum team collaboration, Continuous Integration with Jenkins, RESTful API design and documentation will enable you to contribute to strategic planning, process improvement, and the successful execution of key projects.",https://careers.tesla.com/jobs/software-engineer-9120
